Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-12 00:00:00",3.700,3.800,3.800,3.800,8.800,9.200,9.100,9.100,3300.800,682.300,244.900,82.200,
"2018-02-12 00:15:00",3.800,4.000,3.900,3.800,9.000,9.500,9.500,9.300,3302.700,684.400,248.200,83.100,
"2018-02-12 00:30:00",4.100,4.500,5.400,4.200,9.700,10.700,13.900,10.400,3309.300,691.800,295.500,95.500,
"2018-02-12 00:45:00",6.200,4.900,4.400,4.400,14.500,11.700,10.700,10.800,3322.700,693.000,252.500,96.400,
"2018-02-12 01:00:00",3.700,4.100,7.200,5.200,8.700,9.800,17.500,12.900,3300.900,684.000,283.900,106.200,
"2018-02-12 01:15:00",3.800,3.700,3.800,5.200,8.900,8.800,8.900,12.700,3302.400,680.600,244.600,105.300,
"2018-02-12 01:30:00",3.800,3.700,3.700,4.800,8.800,8.600,8.900,11.500,3300.600,678.800,247.300,93.300,
"2018-02-12 01:45:00",3.700,3.800,3.800,4.600,8.500,8.800,8.700,11.000,3294.600,678.300,242.300,90.700,
"2018-02-12 02:00:00",3.800,3.700,3.700,3.700,8.500,8.300,8.500,8.700,3300.700,677.800,240.000,79.700,
"2018-02-12 02:15:00",3.500,3.600,3.600,3.700,8.400,8.400,8.400,8.600,3298.400,677.600,240.000,78.600,
"2018-02-12 02:30:00",4.000,3.700,3.700,3.700,9.400,8.700,8.600,8.500,3309.600,678.800,240.900,76.900,
"2018-02-12 02:45:00",3.700,3.800,3.700,3.700,8.500,9.800,9.100,8.600,3296.700,700.900,250.900,79.100,
"2018-02-12 03:00:00",3.500,3.600,3.700,3.700,8.600,8.800,8.800,8.700,3304.600,683.100,245.400,80.500,
"2018-02-12 03:15:00",3.700,3.700,3.800,3.700,9.000,9.000,9.000,8.900,3303.700,682.100,244.600,81.600,
"2018-02-12 03:30:00",3.800,3.800,3.700,3.700,9.200,9.100,9.000,9.000,3309.000,684.200,248.100,83.600,
"2018-02-12 03:45:00",3.600,3.700,3.600,3.700,8.900,9.100,8.900,8.900,3305.400,689.100,247.600,82.600,
"2018-02-12 04:00:00",3.600,3.800,3.700,3.700,9.200,9.400,9.100,9.000,3307.400,685.800,248.500,83.400,
"2018-02-12 04:15:00",3.700,3.700,3.700,3.700,8.500,8.800,8.900,9.000,3302.800,681.300,245.600,83.600,
"2018-02-12 04:30:00",3.900,3.700,3.700,3.700,9.100,8.900,8.900,8.900,3305.100,682.800,246.800,83.300,
"2018-02-12 04:45:00",3.900,3.900,4.000,3.800,9.200,10.500,9.800,9.200,3304.400,715.300,265.600,87.800,
"2018-02-12 05:00:00",3.700,3.800,3.800,3.800,9.200,9.100,9.100,9.200,3316.500,685.000,247.200,87.500,
