Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-15 00:00:00",0.800,0.700,0.700,0.600,1.200,1.100,1.100,1.000,1.700,1.500,1.900,2.200,
"2018-02-15 00:15:00",0.600,0.700,0.700,0.700,0.900,1.100,1.100,1.100,1.100,1.500,1.900,1.800,
"2018-02-15 00:30:00",0.700,0.700,0.700,0.700,1.100,1.100,1.100,1.100,2.000,2.100,1.600,1.800,
"2018-02-15 00:45:00",0.600,0.600,0.600,0.700,0.900,1.000,1.000,1.100,1.000,1.200,1.300,1.700,
"2018-02-15 01:00:00",0.600,0.600,0.600,0.600,1.000,1.000,1.000,1.000,1.800,1.400,1.300,1.500,
"2018-02-15 01:15:00",0.700,0.600,0.600,0.600,1.000,0.900,1.000,1.000,1.000,1.100,1.200,1.400,
"2018-02-15 01:30:00",0.600,0.600,0.600,0.600,1.000,0.900,1.000,1.000,1.900,1.900,1.900,1.400,
"2018-02-15 01:45:00",0.800,0.700,0.700,0.600,1.200,1.100,1.100,1.000,1.900,1.900,2.000,1.600,
"2018-02-15 02:00:00",0.800,0.800,0.800,0.700,1.300,1.200,1.200,1.100,1.500,5.000,3.500,2.100,
"2018-02-15 02:15:00",1.100,1.000,0.900,0.700,1.600,1.500,1.400,1.200,1.800,3.100,2.700,2.500,
"2018-02-15 02:30:00",0.900,0.900,0.900,0.800,1.400,1.300,1.400,1.300,4.800,2.900,3.100,2.800,
"2018-02-15 02:45:00",0.700,0.700,,,1.100,1.100,,,1.200,2.200,,,
"2018-02-15 03:00:00",0.700,0.700,0.700,,1.200,1.100,1.100,,3.300,5.900,3.200,,
"2018-02-15 03:15:00",0.800,0.800,0.800,,1.400,1.400,1.300,,11.400,13.000,16.200,,
"2018-02-15 03:30:00",0.900,1.000,0.900,,1.600,1.700,1.600,,7.800,10.100,15.600,,
"2018-02-15 03:45:00",1.100,1.100,1.100,0.900,1.900,2.100,1.900,1.500,19.100,24.500,20.000,13.700,
"2018-02-15 04:00:00",1.000,1.000,1.100,1.000,1.700,1.800,1.900,1.700,2.400,6.100,11.500,15.800,
"2018-02-15 04:15:00",1.100,1.000,1.000,1.000,1.700,1.700,1.600,1.700,3.200,5.200,5.500,13.100,
"2018-02-15 04:30:00",1.100,1.000,1.000,1.000,1.800,1.700,1.600,1.800,13.100,8.400,6.300,10.800,
"2018-02-15 04:45:00",0.900,0.900,0.900,1.000,1.600,1.500,1.600,1.700,2.700,3.300,5.400,7.200,
"2018-02-15 05:00:00",0.900,1.000,1.000,1.000,1.400,1.500,1.500,1.600,1.600,2.500,3.800,5.300,
"2018-02-15 05:15:00",1.000,0.900,0.900,1.000,1.500,1.500,1.500,1.600,5.800,5.700,8.200,5.900,
"2018-02-15 05:30:00",1.000,1.100,1.000,1.000,1.600,1.700,1.600,1.600,3.500,13.100,20.000,9.400,
"2018-02-15 05:45:00",0.900,0.900,1.000,1.000,1.400,1.500,1.500,1.500,5.400,5.800,5.000,9.300,
"2018-02-15 06:00:00",0.900,0.900,0.900,0.900,1.300,1.400,1.300,1.500,1.900,3.100,5.200,9.600,
"2018-02-15 06:15:00",0.900,0.800,0.800,0.900,1.200,1.200,1.200,1.400,2.800,7.000,4.100,8.600,
"2018-02-15 06:30:00",0.700,0.700,0.800,0.800,1.000,1.100,1.100,1.300,3.700,2.400,3.400,4.400,
"2018-02-15 06:45:00",0.600,0.600,0.600,0.800,0.900,0.900,0.900,1.100,1.000,1.100,1.700,3.600,
"2018-02-15 07:00:00",0.400,0.500,0.500,0.700,0.600,0.700,0.800,1.000,0.700,0.700,1.000,2.500,
"2018-02-15 07:15:00",0.300,0.300,0.400,0.600,0.500,0.500,0.600,0.800,1.800,0.800,0.700,1.700,
"2018-02-15 07:30:00",0.300,0.300,0.300,0.500,0.400,0.400,0.400,0.700,0.600,0.500,0.700,1.000,
"2018-02-15 07:45:00",0.300,0.300,0.300,0.400,0.500,0.400,0.400,0.600,0.800,1.100,1.000,0.800,
"2018-02-15 08:00:00",0.300,0.300,0.300,0.300,0.500,0.500,0.500,0.500,0.900,1.000,0.900,0.800,
"2018-02-15 08:15:00",0.400,0.300,0.300,0.300,0.500,0.500,0.500,0.500,0.800,0.800,1.300,1.000,
"2018-02-15 08:30:00",0.400,0.300,0.300,0.300,0.500,0.500,0.500,0.500,0.600,0.600,0.800,1.000,
"2018-02-15 08:45:00",0.300,0.300,0.300,0.300,0.400,0.400,0.400,0.500,0.400,1.200,0.800,0.900,
"2018-02-15 09:00:00",0.300,0.300,0.300,0.300,0.500,0.500,0.400,0.500,1.000,1.700,1.100,1.000,
"2018-02-15 09:15:00",0.400,0.300,0.300,0.300,0.600,0.500,0.500,0.500,0.800,1.700,2.300,1.200,
"2018-02-15 09:30:00",0.400,0.300,0.300,0.300,0.600,0.500,0.500,0.500,22.200,5.000,3.200,1.800,
"2018-02-15 09:45:00",0.500,0.600,0.400,0.300,0.800,0.900,0.700,0.500,4.200,5.000,13.400,5.000,
"2018-02-15 10:00:00",0.300,0.400,0.500,0.400,0.500,0.600,0.700,0.600,0.600,3.300,3.200,5.500,
"2018-02-15 10:15:00",0.400,0.300,0.300,0.400,0.500,0.500,0.500,0.600,0.500,1.000,0.800,5.100,
"2018-02-15 10:30:00",0.400,0.300,0.300,0.400,0.600,0.500,0.500,0.600,0.600,0.800,0.700,4.500,
"2018-02-15 10:45:00",0.400,0.300,0.400,0.400,0.600,0.500,0.500,0.600,0.600,0.500,0.700,1.300,
"2018-02-15 11:00:00",0.400,0.300,0.400,0.300,0.500,0.500,0.500,0.500,0.700,0.800,0.700,0.700,
"2018-02-15 11:15:00",0.400,0.400,0.400,0.400,0.500,0.600,0.600,0.500,0.600,0.700,0.800,0.700,
"2018-02-15 11:30:00",0.400,0.400,0.300,0.400,0.600,0.500,0.500,0.500,0.700,0.700,0.600,0.700,
"2018-02-15 11:45:00",0.800,0.600,0.500,0.400,1.200,1.000,0.700,0.600,1.300,1.100,0.800,0.700,
"2018-02-15 12:00:00",0.900,0.800,0.800,0.500,1.400,1.200,1.100,0.700,1.500,1.500,1.300,0.900,
"2018-02-15 12:15:00",1.000,0.900,0.900,0.600,1.500,1.300,1.300,0.900,1.500,1.500,1.400,1.000,
"2018-02-15 12:30:00",1.100,1.200,1.100,0.800,1.700,1.800,1.700,1.200,1.800,2.000,1.800,1.300,
"2018-02-15 12:45:00",1.100,1.000,1.100,1.000,1.600,1.600,1.700,1.400,1.700,1.700,1.900,1.600,
"2018-02-15 13:00:00",0.800,0.800,0.900,1.000,1.100,1.200,1.400,1.500,1.200,1.400,1.500,1.700,
"2018-02-15 13:15:00",1.300,1.100,0.900,1.000,1.700,1.500,1.300,1.500,1.700,1.500,1.500,1.700,
"2018-02-15 13:30:00",1.400,1.400,1.300,1.000,1.800,1.700,1.700,1.500,1.800,2.000,1.800,1.700,
"2018-02-15 13:45:00",1.300,1.300,1.300,1.100,1.600,1.700,1.600,1.500,1.700,1.800,1.700,1.600,
"2018-02-15 14:00:00",1.300,1.300,1.400,1.200,1.700,1.700,1.800,1.600,1.800,1.700,1.900,1.700,
"2018-02-15 14:15:00",1.200,1.200,1.200,1.300,1.600,1.600,1.600,1.700,1.800,1.700,1.800,1.800,
"2018-02-15 14:30:00",1.100,1.000,1.100,1.300,1.500,1.500,1.600,1.600,1.500,1.700,1.800,1.800,
"2018-02-15 14:45:00",0.700,0.800,0.900,1.200,1.100,1.100,1.300,1.600,1.300,1.200,1.400,1.700,
"2018-02-15 15:00:00",0.700,0.700,0.700,1.000,1.000,1.000,1.000,1.400,1.000,1.100,1.100,1.500,
"2018-02-15 15:15:00",0.700,0.700,0.600,0.800,0.900,0.900,0.900,1.200,2.000,1.300,1.000,1.300,
"2018-02-15 15:30:00",1.000,2.000,1.300,0.900,1.300,2.600,1.700,1.200,1.300,2.800,1.900,1.300,
"2018-02-15 15:45:00",1.400,0.700,0.700,0.800,1.800,1.100,0.900,1.100,1.900,1.100,1.000,1.200,
"2018-02-15 16:00:00",0.600,0.800,1.000,0.900,0.900,1.100,1.300,1.200,0.900,1.300,1.600,1.400,
