Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-15 00:00:00",0.800,0.800,0.800,0.800,1.400,1.400,1.400,1.500,2.300,2.500,2.400,3.100,
"2018-02-15 00:15:00",1.300,1.100,1.000,0.900,2.100,1.900,1.800,1.500,3.500,3.300,3.100,3.000,
"2018-02-15 00:30:00",0.600,0.700,0.800,0.800,1.100,1.100,1.300,1.500,2.500,1.800,2.400,2.900,
"2018-02-15 00:45:00",0.700,0.600,0.600,0.800,1.200,1.000,1.000,1.400,1.800,1.600,1.800,2.400,
"2018-02-15 01:00:00",0.600,0.600,0.600,0.700,1.000,1.000,1.000,1.300,1.200,1.200,1.500,2.200,
"2018-02-15 01:15:00",0.600,0.500,0.500,0.600,0.900,0.900,0.900,1.000,1.500,2.100,1.700,1.800,
"2018-02-15 01:30:00",0.700,0.600,0.500,0.500,1.100,1.000,0.900,1.000,1.700,2.300,2.000,1.700,
"2018-02-15 01:45:00",0.500,0.600,0.600,0.500,0.900,0.900,1.000,0.900,1.000,1.700,3.000,2.100,
"2018-02-15 02:00:00",0.700,0.600,0.600,0.600,1.200,1.000,1.000,0.900,4.300,2.400,2.700,2.400,
"2018-02-15 02:15:00",0.600,0.600,0.700,0.600,1.000,1.000,1.100,1.000,1.300,2.500,3.000,2.700,
"2018-02-15 02:30:00",0.800,0.700,0.600,0.600,1.300,1.200,1.100,1.000,3.600,2.800,2.200,2.700,
"2018-02-15 02:45:00",0.800,0.700,0.700,0.600,1.300,1.300,1.200,1.100,2.800,2.200,2.300,2.500,
"2018-02-15 03:00:00",1.000,1.000,0.900,0.700,1.900,1.800,1.600,1.200,5.300,6.400,5.000,3.100,
"2018-02-15 03:15:00",1.300,1.300,1.200,0.800,2.300,2.200,2.000,1.500,10.900,13.200,9.700,4.800,
"2018-02-15 03:30:00",1.500,1.400,1.400,1.000,2.600,2.600,2.600,1.800,17.900,19.500,25.200,10.600,
"2018-02-15 03:45:00",1.600,1.500,1.500,1.200,2.800,2.700,2.700,2.200,12.100,10.300,14.100,13.500,
"2018-02-15 04:00:00",1.700,1.600,1.600,1.400,2.900,2.800,2.800,2.500,6.200,5.800,8.700,14.400,
"2018-02-15 04:15:00",1.700,1.700,1.700,1.600,2.900,2.900,3.000,2.800,3.700,4.700,5.100,13.300,
"2018-02-15 04:30:00",1.700,1.700,1.600,1.600,3.100,2.900,2.900,2.900,6.100,5.600,5.400,8.300,
"2018-02-15 04:45:00",2.100,2.000,1.900,1.700,3.500,3.300,3.200,3.000,5.600,5.800,5.600,6.200,
"2018-02-15 05:00:00",1.900,2.000,2.000,1.800,3.300,3.300,3.400,3.100,6.100,5.800,5.600,5.400,
"2018-02-15 05:15:00",1.500,1.600,1.600,1.800,2.600,2.700,2.800,3.100,3.100,3.200,4.600,5.300,
"2018-02-15 05:30:00",1.400,1.400,1.400,1.700,2.400,2.300,2.400,2.900,4.200,3.300,3.000,4.700,
"2018-02-15 05:45:00",1.400,1.400,1.400,1.600,2.400,2.300,2.300,2.700,4.100,3.400,3.000,4.100,
"2018-02-15 06:00:00",1.400,1.500,1.400,1.400,2.500,2.500,2.400,2.500,11.700,9.500,7.400,4.500,
"2018-02-15 06:15:00",1.600,1.600,1.500,1.400,2.700,2.600,2.700,2.400,23.400,15.600,20.600,8.500,
"2018-02-15 06:30:00",1.600,1.600,1.600,1.500,2.500,2.600,2.600,2.500,7.700,7.000,9.100,10.000,
"2018-02-15 06:45:00",1.300,1.400,1.400,1.500,2.100,2.200,2.300,2.500,2.400,3.500,5.400,10.600,
"2018-02-15 07:00:00",1.400,1.300,1.300,1.500,2.200,2.200,2.200,2.400,2.700,2.700,2.900,9.500,
"2018-02-15 07:15:00",1.200,1.200,1.300,1.400,2.100,2.000,2.100,2.300,2.500,2.700,2.700,5.000,
"2018-02-15 07:30:00",1.200,1.200,1.200,1.300,2.000,2.000,2.000,2.100,2.500,2.500,2.700,3.400,
"2018-02-15 07:45:00",1.300,1.200,1.200,1.300,2.000,2.000,2.000,2.100,2.500,3.100,2.800,2.800,
"2018-02-15 08:00:00",1.300,1.200,1.200,1.200,2.000,2.000,2.000,2.000,3.000,2.500,2.600,2.700,
"2018-02-15 08:15:00",1.300,1.300,1.300,1.200,2.100,2.100,2.100,2.000,2.200,2.300,2.500,2.600,
"2018-02-15 08:30:00",1.300,1.300,1.300,1.300,2.100,2.100,2.100,2.000,2.300,2.500,2.500,2.600,
"2018-02-15 08:45:00",1.200,1.200,1.300,1.300,1.900,2.000,2.000,2.000,3.100,2.400,2.600,2.500,
"2018-02-15 09:00:00",1.300,1.200,1.500,1.300,2.000,2.000,2.300,2.100,3.500,2.900,3.000,2.600,
"2018-02-15 09:15:00",1.400,1.300,1.200,1.300,2.100,2.000,2.000,2.100,2.300,2.500,2.700,2.700,
"2018-02-15 09:30:00",1.200,1.200,1.200,1.300,1.900,2.000,2.000,2.100,2.100,2.400,2.600,2.700,
"2018-02-15 09:45:00",1.200,1.200,1.200,1.300,2.000,1.900,1.900,2.000,3.900,2.800,2.700,2.700,
"2018-02-15 10:00:00",0.900,1.100,1.100,1.200,1.500,1.800,1.800,1.900,1.800,2.500,2.400,2.600,
"2018-02-15 10:15:00",1.200,1.200,1.100,1.100,1.800,1.900,1.800,1.900,2.000,2.800,2.700,2.600,
"2018-02-15 10:30:00",1.100,1.100,1.100,1.100,1.800,1.800,1.800,1.800,2.700,2.600,2.400,2.600,
"2018-02-15 10:45:00",1.000,1.100,1.100,1.100,1.600,1.800,1.800,1.800,2.400,2.200,2.300,2.400,
"2018-02-15 11:00:00",1.000,1.100,1.200,1.100,1.600,1.800,1.800,1.800,2.200,2.400,2.600,2.500,
"2018-02-15 11:15:00",1.100,1.000,1.100,1.100,1.800,1.700,1.700,1.800,2.200,2.100,2.000,2.300,
"2018-02-15 11:30:00",1.000,0.900,1.000,1.100,1.700,1.600,1.500,1.700,3.000,2.100,2.100,2.200,
"2018-02-15 11:45:00",0.900,0.900,0.900,1.000,1.400,1.400,1.400,1.600,1.600,1.800,1.900,2.100,
"2018-02-15 12:00:00",0.700,0.800,0.800,0.900,1.200,1.300,1.300,1.500,2.900,1.900,1.800,1.900,
"2018-02-15 12:15:00",0.700,0.800,0.800,0.900,1.100,1.200,1.200,1.400,1.500,1.300,1.500,1.800,
"2018-02-15 12:30:00",0.700,0.700,0.600,0.800,1.100,1.000,1.000,1.200,1.200,1.200,1.100,1.600,
"2018-02-15 12:45:00",0.800,0.700,0.700,0.700,1.100,1.100,1.000,1.100,1.200,1.200,1.200,1.400,
"2018-02-15 13:00:00",7.900,2.100,1.200,0.800,10.000,2.900,1.700,1.200,10.400,3.200,2.000,1.500,
"2018-02-15 13:15:00",0.800,0.800,0.700,0.800,1.200,1.200,1.200,1.200,1.300,1.600,1.400,1.400,
"2018-02-15 13:30:00",0.600,0.600,0.700,0.800,1.000,1.000,1.100,1.200,1.100,1.700,1.400,1.500,
"2018-02-15 13:45:00",0.700,0.700,0.700,0.800,1.000,1.100,1.100,1.300,1.100,1.100,1.200,1.500,
"2018-02-15 14:00:00",0.600,0.600,0.600,0.700,1.000,0.900,1.000,1.100,2.300,1.300,1.100,1.300,
"2018-02-15 14:15:00",0.500,0.500,0.500,0.600,0.800,0.800,0.900,1.000,0.900,0.800,1.000,1.200,
