Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-06 00:00:00",1.300,1.300,1.300,1.100,3.200,3.100,3.200,2.600,12.500,13.000,12.100,10.500,
"2018-02-06 00:15:00",1.200,1.200,1.200,1.200,2.900,2.800,2.900,2.800,9.800,8.900,10.400,11.200,
"2018-02-06 00:30:00",1.200,1.100,1.200,1.300,2.700,2.500,2.700,3.000,8.400,8.000,9.000,11.000,
"2018-02-06 00:45:00",1.100,1.000,1.000,1.200,2.300,2.200,2.300,2.800,7.400,6.800,7.300,9.700,
"2018-02-06 01:00:00",0.900,0.900,0.900,1.100,1.900,2.000,2.100,2.500,6.000,6.600,7.200,8.500,
"2018-02-06 01:15:00",0.900,0.900,0.900,1.000,1.900,1.900,1.900,2.300,8.000,7.700,7.200,7.700,
"2018-02-06 01:30:00",0.900,0.800,0.800,0.900,2.000,1.800,1.800,2.000,4.500,5.800,6.200,7.000,
"2018-02-06 01:45:00",0.800,0.800,0.800,0.900,1.600,1.600,1.700,1.900,4.700,5.400,5.000,6.400,
"2018-02-06 02:00:00",0.800,0.800,0.800,0.800,1.600,1.700,1.700,1.800,3.600,5.700,6.200,6.200,
"2018-02-06 02:15:00",0.700,0.700,0.700,0.800,1.500,1.600,1.600,1.700,7.600,6.200,5.500,5.700,
"2018-02-06 02:30:00",0.700,0.700,0.700,0.700,1.400,1.400,1.400,1.600,3.000,5.900,5.600,5.600,
"2018-02-06 02:45:00",0.700,0.700,0.700,0.700,1.600,1.500,1.400,1.500,6.800,5.900,5.200,5.600,
"2018-02-06 03:00:00",1.700,1.800,1.500,0.900,4.000,4.300,3.500,2.000,15.200,16.400,14.800,7.800,
"2018-02-06 03:15:00",0.700,0.700,1.000,1.000,1.400,1.500,2.200,2.100,2.800,4.600,7.900,8.400,
"2018-02-06 03:30:00",0.700,0.700,0.700,1.000,1.400,1.300,1.400,2.100,5.300,5.300,4.600,8.100,
"2018-02-06 03:45:00",0.800,0.700,0.700,1.000,1.600,1.500,1.500,2.100,8.900,5.900,5.700,8.300,
"2018-02-06 04:00:00",0.800,0.800,0.700,0.800,1.800,1.600,1.600,1.700,6.500,7.400,6.400,6.300,
"2018-02-06 04:15:00",0.800,0.800,0.800,0.700,1.900,2.000,1.900,1.600,9.100,9.100,8.700,6.400,
