Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-10 00:00:00",1.000,0.900,0.900,0.900,2.200,2.100,2.100,2.200,8.000,6.600,6.400,8.200,
"2018-02-10 00:15:00",0.900,1.000,0.900,0.900,2.200,2.300,2.200,2.200,10.700,9.500,8.400,8.000,
"2018-02-10 00:30:00",1.000,0.900,0.900,0.900,2.200,2.100,2.100,2.200,9.000,7.600,7.900,7.800,
"2018-02-10 00:45:00",1.000,1.000,1.000,0.900,2.200,2.200,2.200,2.200,7.400,7.300,7.100,7.500,
"2018-02-10 01:00:00",1.100,1.000,1.000,0.900,2.400,2.200,2.200,2.200,9.400,7.900,7.500,7.700,
"2018-02-10 01:15:00",1.100,1.000,1.000,1.000,2.300,2.200,2.200,2.200,5.300,6.300,6.300,7.200,
"2018-02-10 01:30:00",1.000,0.900,0.900,1.000,1.900,1.900,2.000,2.100,5.500,5.200,5.600,6.600,
"2018-02-10 01:45:00",0.900,0.900,0.900,1.000,2.100,2.100,2.000,2.100,5.200,5.900,5.600,6.200,
"2018-02-10 02:00:00",0.800,0.800,0.800,0.900,2.000,1.900,1.900,2.000,7.500,6.400,6.800,6.100,
"2018-02-10 02:15:00",0.900,0.800,0.800,0.900,2.000,1.900,2.000,2.000,7.300,8.000,8.000,6.500,
"2018-02-10 02:30:00",0.700,0.800,0.700,0.800,1.800,1.900,1.900,1.900,9.200,7.900,7.500,7.000,
"2018-02-10 02:45:00",1.200,1.500,1.400,0.900,2.800,3.500,3.500,2.300,10.600,11.800,11.400,8.400,
"2018-02-10 03:00:00",0.800,0.800,0.800,0.900,1.900,1.900,2.100,2.400,7.000,7.300,7.300,8.500,
"2018-02-10 03:15:00",0.700,0.700,0.700,0.900,1.700,1.900,2.000,2.400,8.400,7.700,7.100,8.300,
"2018-02-10 03:30:00",0.700,0.700,0.700,0.900,1.800,1.800,1.800,2.300,6.900,6.900,7.400,8.300,
"2018-02-10 03:45:00",0.700,0.600,0.700,0.700,1.600,1.600,1.700,1.900,7.100,5.900,6.000,6.900,
"2018-02-10 04:00:00",0.600,0.500,0.600,0.700,1.400,1.300,1.400,1.700,5.300,4.700,5.000,6.400,
"2018-02-10 04:15:00",0.600,0.600,0.600,0.600,1.400,1.400,1.400,1.600,3.300,5.300,4.600,5.800,
"2018-02-10 04:30:00",0.600,0.500,0.600,0.600,1.400,1.400,1.400,1.500,3.800,3.500,4.300,5.000,
"2018-02-10 04:45:00",0.600,0.500,0.600,0.600,1.500,1.300,1.400,1.400,3.500,3.800,4.200,4.500,
"2018-02-10 05:00:00",0.500,0.500,0.500,0.500,1.300,1.300,1.300,1.400,4.600,4.100,4.500,4.400,
"2018-02-10 05:15:00",0.600,0.600,0.500,0.500,1.500,1.500,1.400,1.400,5.100,5.900,4.900,4.500,
"2018-02-10 05:30:00",0.800,0.800,0.800,0.600,2.400,2.400,2.200,1.500,9.100,10.000,9.600,5.800,
"2018-02-10 05:45:00",0.700,0.700,0.700,0.600,1.700,1.800,2.000,1.700,5.600,6.800,8.900,7.000,
"2018-02-10 06:00:00",0.600,0.600,0.600,0.700,1.300,1.400,1.300,1.700,4.000,4.000,4.700,7.000,
"2018-02-10 06:15:00",0.800,0.800,0.900,0.700,1.500,1.500,1.600,1.800,2.400,3.600,3.800,6.800,
"2018-02-10 06:30:00",0.600,0.600,0.700,0.700,1.300,1.300,1.300,1.600,1.900,3.400,3.400,5.200,
"2018-02-10 06:45:00",0.600,0.700,0.600,0.700,1.400,1.400,1.300,1.400,2.900,3.300,3.100,3.800,
"2018-02-10 07:00:00",0.800,1.100,1.300,0.900,2.200,2.600,3.100,1.800,14.200,9.400,11.200,5.400,
"2018-02-10 07:15:00",0.900,1.200,1.200,0.900,2.800,3.800,3.800,2.400,13.300,16.300,16.900,8.700,
"2018-02-10 07:30:00",0.700,0.600,0.600,0.900,1.600,1.600,1.600,2.400,6.600,5.300,5.900,9.300,
"2018-02-10 07:45:00",1.000,0.700,0.700,0.900,3.600,2.000,1.800,2.600,27.600,10.400,6.800,10.200,
"2018-02-10 08:00:00",0.900,1.500,1.300,0.900,2.700,5.400,4.700,2.900,19.700,41.100,38.200,17.000,
"2018-02-10 08:15:00",1.200,1.100,1.300,1.000,4.000,4.300,4.900,3.200,26.700,32.000,38.800,22.400,
"2018-02-10 08:30:00",1.300,1.300,1.300,1.100,4.500,4.800,4.900,4.000,26.500,32.500,35.200,29.800,
"2018-02-10 08:45:00",1.000,0.900,1.100,1.200,2.800,2.800,3.900,4.600,12.300,12.200,21.400,33.400,
"2018-02-10 09:00:00",1.100,1.100,1.000,1.200,3.300,3.200,3.300,4.200,23.000,17.200,18.500,28.500,
"2018-02-10 09:15:00",2.600,1.500,1.200,1.200,10.400,5.300,3.900,4.000,84.600,36.400,25.800,25.200,
"2018-02-10 09:30:00",1.500,1.300,1.400,1.200,5.800,5.200,5.100,4.000,39.100,39.600,36.700,25.600,
"2018-02-10 09:45:00",1.900,1.600,1.700,1.300,6.700,5.500,6.300,4.700,32.900,33.900,42.000,30.800,
"2018-02-10 10:00:00",2.200,1.900,2.000,1.600,9.300,7.700,7.500,5.700,65.800,54.100,45.900,37.600,
"2018-02-10 10:15:00",2.100,2.200,2.800,2.000,8.300,8.300,12.700,7.900,56.600,47.300,78.700,50.800,
"2018-02-10 10:30:00",4.900,4.100,3.200,2.400,19.900,15.100,11.300,9.400,130.800,87.200,62.200,57.200,
"2018-02-10 10:45:00",3.100,2.300,3.600,2.900,12.900,9.700,14.200,11.400,83.800,62.900,84.400,67.800,
"2018-02-10 11:00:00",1.600,1.800,2.000,2.900,5.600,7.100,8.300,11.600,30.100,41.800,54.700,70.000,
"2018-02-10 11:15:00",1.800,2.200,2.300,2.700,6.000,7.400,8.200,10.500,33.900,40.900,47.800,62.300,
"2018-02-10 11:30:00",7.700,3.600,2.800,2.700,29.500,14.300,11.500,10.500,169.300,87.500,71.500,64.600,
