Time,PM1_1M,PM1_5M,PM1_15M,PM1_1H,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-02 00:00:00",0.800,0.800,0.800,0.800,1.800,1.800,1.800,1.800,8.300,7.600,7.300,7.000,
"2018-02-02 00:15:00",0.800,0.800,0.800,0.800,1.800,1.800,1.800,1.800,5.500,7.300,7.400,7.100,
"2018-02-02 00:30:00",0.800,0.700,0.800,0.800,1.800,1.700,1.800,1.800,6.600,6.800,6.600,7.100,
"2018-02-02 00:45:00",1.000,0.900,0.800,0.800,2.200,1.900,1.900,1.800,6.900,8.600,7.500,7.200,
"2018-02-02 01:00:00",0.900,0.900,0.900,0.800,2.000,2.100,1.900,1.800,13.600,10.200,9.700,7.800,
"2018-02-02 01:15:00",1.000,1.000,0.900,0.800,2.400,2.400,2.200,1.900,16.200,14.000,13.600,9.400,
"2018-02-02 01:30:00",1.100,1.000,1.000,0.900,2.600,2.500,2.400,2.100,15.800,13.300,12.600,10.800,
"2018-02-02 01:45:00",1.000,1.000,1.000,0.900,2.400,2.400,2.400,2.200,9.900,12.800,14.000,12.500,
"2018-02-02 02:00:00",1.000,1.000,1.000,1.000,2.400,2.500,2.400,2.400,13.800,14.600,13.000,13.300,
"2018-02-02 02:15:00",1.000,1.100,1.000,1.000,2.700,2.600,2.500,2.400,10.200,12.700,11.800,12.900,
"2018-02-02 02:30:00",1.200,1.100,1.100,1.000,2.700,2.500,2.500,2.500,11.500,12.200,12.300,12.800,
"2018-02-02 02:45:00",1.100,1.000,1.000,1.000,2.500,2.500,2.500,2.500,15.900,14.500,13.800,12.800,
"2018-02-02 03:00:00",1.200,1.100,1.100,1.000,2.800,2.600,2.600,2.500,13.400,13.300,12.900,12.700,
"2018-02-02 03:15:00",1.400,1.300,1.200,1.100,3.300,3.100,2.900,2.600,13.100,13.600,12.000,12.800,
"2018-02-02 03:30:00",1.100,1.200,1.300,1.100,2.700,2.900,3.000,2.800,10.600,10.800,13.200,13.000,
"2018-02-02 03:45:00",2.300,2.300,2.000,1.400,4.400,4.300,3.900,3.100,15.100,14.700,13.000,12.800,
"2018-02-02 04:00:00",1.100,1.200,1.800,1.600,2.700,2.800,3.600,3.400,11.200,12.300,12.800,12.800,
"2018-02-02 04:15:00",1.100,1.100,1.100,1.500,2.700,2.600,2.600,3.300,11.800,11.700,11.600,12.700,
"2018-02-02 04:30:00",1.000,1.000,1.100,1.500,2.500,2.500,2.600,3.200,10.900,9.400,10.700,12.000,
"2018-02-02 04:45:00",1.100,1.100,1.100,1.300,2.800,2.700,2.700,2.900,10.200,10.500,11.500,11.600,
"2018-02-02 05:00:00",1.100,1.100,1.100,1.100,2.800,2.700,2.700,2.700,11.200,11.300,11.200,11.200,
"2018-02-02 05:15:00",1.100,1.100,1.100,1.100,2.600,2.700,2.700,2.700,9.800,9.300,10.400,10.900,
"2018-02-02 05:30:00",1.100,1.100,1.100,1.100,2.600,2.500,2.600,2.700,9.000,10.600,10.100,10.800,
"2018-02-02 05:45:00",1.000,1.000,1.000,1.100,2.400,2.300,2.400,2.600,9.900,9.800,10.400,10.500,
"2018-02-02 06:00:00",1.100,0.900,1.000,1.000,2.300,2.200,2.300,2.500,11.400,8.400,8.700,9.900,
"2018-02-02 06:15:00",1.000,0.900,0.900,1.000,2.000,2.100,2.200,2.400,6.800,7.800,8.500,9.400,
"2018-02-02 06:30:00",0.800,0.800,0.800,0.900,1.900,2.000,2.000,2.200,8.700,8.800,8.300,8.900,
