Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-09 06:45:00",1.800,1.800,1.700,3.700,3.600,3.500,3.400,1.600,12.300,1323.500,448.500,121.700,
"2018-02-09 07:00:00",2.200,2.100,1.900,4.600,4.200,3.800,3.200,1.600,15.900,1326.300,450.000,119.800,
"2018-02-09 07:15:00",2.300,2.700,2.400,4.300,6.100,5.100,3.900,1.900,12.700,1333.300,453.300,122.100,
"2018-02-09 07:30:00",2.500,2.600,2.500,4.700,4.700,4.600,4.300,2.100,13.500,1324.300,449.900,122.700,
"2018-02-09 07:45:00",7.700,3.600,2.500,18.500,8.600,5.400,4.700,2.300,85.400,1348.400,458.200,125.200,
"2018-02-09 08:00:00",20.200,9.900,5.600,48.900,23.300,13.200,7.100,3.200,184.400,1396.000,488.300,134.700,
"2018-02-09 08:15:00",5.100,5.700,4.800,11.400,13.200,11.000,8.600,3.800,38.500,1365.200,480.100,141.400,
"2018-02-09 08:30:00",1.900,4.200,3.500,4.400,10.500,8.500,9.500,4.100,20.500,1360.500,476.100,148.000,
"2018-02-09 08:45:00",3.400,3.500,4.600,8.900,9.000,12.100,11.200,4.600,50.100,1357.000,497.900,157.900,
"2018-02-09 09:00:00",2.700,2.400,2.500,5.900,5.300,6.100,9.500,3.800,15.200,1330.400,465.300,152.200,
"2018-02-09 09:15:00",2.400,3.700,4.200,5.400,10.000,11.700,9.600,3.700,28.900,1369.600,506.200,158.700,
"2018-02-09 09:30:00",5.100,4.200,3.400,10.800,9.400,7.900,9.500,3.700,48.000,1359.500,480.800,159.900,
"2018-02-09 09:45:00",3.300,3.600,4.900,7.800,8.200,9.800,8.900,3.700,41.600,1356.500,480.900,155.600,
"2018-02-09 10:00:00",3.100,3.100,2.800,7.800,8.300,7.300,9.200,3.800,48.300,1362.100,481.000,159.500,
"2018-02-09 10:15:00",2.800,4.100,4.400,6.300,8.900,9.400,8.600,3.900,35.600,1356.400,484.900,154.200,
"2018-02-09 10:30:00",3.600,3.500,2.700,7.400,7.200,6.000,8.100,3.700,38.700,1346.700,468.500,151.100,
"2018-02-09 10:45:00",2.900,3.000,3.900,6.400,6.200,7.500,7.500,3.500,27.600,1338.400,468.800,148.100,
"2018-02-09 11:00:00",2.800,3.000,2.900,5.800,6.600,6.300,7.300,3.500,28.300,1343.000,466.000,144.400,
"2018-02-09 11:15:00",3.400,2.400,2.800,7.200,5.000,5.900,6.400,3.100,25.400,1327.300,460.300,138.200,
"2018-02-09 11:30:00",1.500,1.600,2.100,3.000,3.200,4.400,6.000,2.900,9.900,1323.100,452.800,134.300,
"2018-02-09 11:45:00",1.900,1.400,1.500,4.000,2.800,3.100,5.000,2.300,15.300,1321.200,450.100,129.800,
"2018-02-09 12:00:00",2.800,1.600,1.600,7.500,4.100,3.600,4.300,2.000,52.400,1334.600,454.400,126.900,
"2018-02-09 12:15:00",1.500,1.400,1.700,3.400,3.000,4.000,3.800,1.700,15.400,1322.900,456.500,125.900,
"2018-02-09 12:30:00",1.500,1.400,1.400,4.000,3.300,3.100,3.400,1.500,38.500,1328.800,452.300,125.600,
"2018-02-09 12:45:00",1.700,1.800,1.700,5.200,4.400,4.100,3.700,1.600,72.000,1342.700,463.700,129.000,
"2018-02-09 13:00:00",2.000,1.700,1.600,5.300,4.000,3.700,3.700,1.600,39.900,1335.900,456.900,129.700,
"2018-02-09 13:15:00",1.300,1.400,1.500,2.700,3.000,3.100,3.500,1.500,10.600,1327.500,452.200,128.600,
"2018-02-09 13:30:00",1.200,1.300,1.300,2.300,2.600,2.600,3.400,1.500,7.400,1319.900,447.300,127.300,
"2018-02-09 13:45:00",1.400,1.700,1.900,2.400,2.700,3.000,3.100,1.600,8.600,1319.700,446.200,123.000,
"2018-02-09 14:00:00",1.700,1.500,1.600,3.200,2.900,2.800,2.900,1.600,9.200,1320.500,446.300,120.300,
"2018-02-09 14:15:00",1.500,1.600,1.700,3.000,3.200,3.700,3.000,1.600,10.600,1323.300,456.500,121.400,
"2018-02-09 14:30:00",1.100,1.000,1.100,2.200,2.000,2.100,2.900,1.600,7.100,1320.800,445.500,121.000,
"2018-02-09 14:45:00",1.300,1.500,1.400,2.600,3.200,3.000,2.900,1.400,12.800,1326.600,451.100,122.200,
"2018-02-09 15:00:00",1.600,1.400,1.300,3.300,2.800,2.600,2.900,1.400,5.700,1317.400,444.100,121.600,
"2018-02-09 15:15:00",1.400,1.700,1.800,2.400,3.100,3.300,2.800,1.400,4.700,1321.200,447.300,119.300,
"2018-02-09 15:30:00",1.800,2.100,3.000,2.900,3.100,4.000,3.300,1.900,7.900,1317.500,444.600,119.100,
"2018-02-09 15:45:00",1.200,1.400,1.500,2.000,2.400,2.500,3.100,1.900,4.100,1318.200,443.700,117.200,
"2018-02-09 16:00:00",1.400,1.400,1.500,2.400,2.500,2.600,3.100,1.900,9.900,1318.600,444.800,117.400,
"2018-02-09 16:15:00",1.400,1.400,1.500,2.400,2.500,2.700,2.900,1.900,11.800,1318.400,445.000,116.800,
"2018-02-09 16:30:00",1.300,1.300,1.600,2.500,2.400,3.100,2.700,1.500,7.900,1317.300,445.600,117.100,
"2018-02-09 16:45:00",0.900,1.100,1.300,1.600,2.200,2.500,2.700,1.500,2.900,1317.100,444.400,117.300,
"2018-02-09 17:00:00",0.900,0.700,0.800,1.600,1.400,1.400,2.400,1.300,4.600,1314.500,440.800,116.300,
"2018-02-09 17:15:00",2.000,1.600,1.000,4.800,3.900,2.200,2.300,1.200,11.600,1321.700,442.600,115.700,
"2018-02-09 17:30:00",1.100,1.100,1.200,2.200,2.100,2.500,2.100,1.000,4.600,1316.400,444.600,115.400,
"2018-02-09 17:45:00",1.200,0.800,0.900,2.900,1.700,1.700,1.900,0.900,14.900,1316.300,441.800,114.800,
"2018-02-09 18:00:00",1.200,1.100,1.600,2.400,2.200,3.600,2.500,1.100,5.800,1318.000,451.900,117.600,
"2018-02-09 18:15:00",0.900,0.900,1.000,1.600,1.700,1.900,2.400,1.100,2.600,1314.900,441.400,117.300,
"2018-02-09 18:30:00",1.100,1.100,1.200,2.200,2.300,2.300,2.400,1.100,5.000,1316.600,442.400,116.700,
"2018-02-09 18:45:00",1.000,1.200,1.100,1.900,2.200,2.000,2.500,1.200,6.800,1316.700,442.200,116.800,
"2018-02-09 19:00:00",1.600,1.500,1.400,3.200,3.000,2.800,2.200,1.200,12.500,1320.400,445.100,115.100,
