Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-09 00:00:00",5.200,5.100,5.400,9.700,10.100,10.800,9.600,4.900,24.500,1334.300,463.700,133.500,
"2018-02-09 00:15:00",4.000,4.700,5.200,7.900,8.500,9.500,9.900,5.100,19.500,1331.400,459.400,133.800,
"2018-02-09 00:30:00",3.900,3.600,3.300,7.300,6.900,6.500,9.400,4.900,21.600,1330.800,454.900,132.600,
"2018-02-09 00:45:00",3.000,2.700,3.500,5.900,5.500,6.800,8.400,4.400,17.900,1329.000,457.500,131.200,
"2018-02-09 01:00:00",3.500,3.200,3.300,6.700,6.400,6.600,7.300,3.900,19.400,1332.500,458.500,129.900,
"2018-02-09 01:15:00",3.000,3.300,3.000,5.700,6.300,5.900,6.400,3.300,17.500,1330.700,456.500,129.200,
"2018-02-09 01:30:00",3.300,3.100,3.200,6.700,6.200,6.200,6.400,3.300,19.100,1327.300,453.800,128.900,
"2018-02-09 01:45:00",2.400,2.500,2.700,4.900,5.100,5.600,6.100,3.100,14.700,1326.000,453.400,127.900,
"2018-02-09 02:00:00",2.100,2.200,2.200,4.800,5.000,4.800,5.600,2.800,12.500,1326.200,452.300,126.300,
"2018-02-09 02:15:00",1.800,1.900,1.800,4.200,4.300,4.100,5.200,2.500,18.500,1328.700,452.100,125.200,
"2018-02-09 02:30:00",2.000,2.100,1.900,5.000,5.100,4.700,4.800,2.200,20.500,1329.500,454.700,125.400,
"2018-02-09 02:45:00",2.100,2.200,2.100,5.300,5.500,5.400,4.800,2.000,25.200,1333.200,458.400,126.700,
"2018-02-09 03:00:00",1.200,1.500,1.700,3.200,3.800,4.300,4.600,1.900,17.200,1334.400,459.100,128.400,
"2018-02-09 03:15:00",1.300,1.200,1.300,2.900,2.800,3.000,4.300,1.800,12.600,1322.900,450.700,128.000,
"2018-02-09 03:30:00",1.500,1.400,1.400,3.100,2.900,2.900,3.900,1.600,9.800,1321.400,448.600,126.500,
"2018-02-09 03:45:00",1.600,1.600,1.500,3.200,3.300,3.100,3.300,1.500,9.800,1323.400,448.600,124.100,
"2018-02-09 04:00:00",2.500,2.200,1.900,4.700,4.500,4.000,3.200,1.500,13.000,1324.500,449.800,121.800,
"2018-02-09 04:15:00",2.300,2.400,2.400,4.300,4.500,4.500,3.600,1.800,17.400,1325.900,449.900,121.600,
"2018-02-09 04:30:00",1.800,1.800,2.000,3.500,3.600,3.900,3.900,2.000,9.100,1321.000,448.400,121.500,
"2018-02-09 04:45:00",2.400,2.200,1.900,4.200,4.000,3.700,4.000,2.100,9.900,1322.000,448.100,121.400,
"2018-02-09 05:00:00",1.300,1.400,1.700,2.700,3.000,3.400,3.900,2.000,8.400,1320.300,447.400,120.800,
"2018-02-09 05:15:00",1.400,1.300,1.300,3.100,3.000,2.900,3.500,1.700,9.900,1322.100,447.400,120.100,
"2018-02-09 05:30:00",2.100,1.800,1.600,5.000,4.300,3.600,3.400,1.600,11.500,1325.200,449.600,120.500,
"2018-02-09 05:45:00",3.700,3.700,2.900,8.700,9.300,6.700,4.200,1.900,37.100,1363.200,467.000,125.200,
"2018-02-09 06:00:00",1.100,1.100,2.100,2.400,2.400,4.900,4.500,2.000,14.300,1321.400,457.700,127.800,
"2018-02-09 06:15:00",1.300,1.100,1.100,2.900,2.400,2.300,4.400,1.900,10.000,1318.700,444.300,127.000,
"2018-02-09 06:30:00",1.800,1.700,1.500,3.500,3.400,3.100,4.200,1.900,10.300,1321.200,447.200,126.400,
