Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-10 00:00:00",1.600,1.500,1.400,3.400,3.100,3.000,3.700,1.600,11.800,1321.800,447.900,123.300,
"2018-02-10 00:15:00",3.000,2.800,2.500,5.800,5.500,4.900,3.900,1.800,19.200,1332.000,455.300,123.600,
"2018-02-10 00:30:00",2.700,2.600,2.700,5.800,5.600,5.700,4.200,2.000,18.200,1329.200,456.700,124.200,
"2018-02-10 00:45:00",2.700,2.600,2.600,5.600,5.400,5.400,4.800,2.300,14.100,1328.100,455.000,126.000,
"2018-02-10 01:00:00",2.200,2.300,2.500,4.700,4.900,5.300,5.400,2.600,16.300,1327.400,454.500,127.700,
"2018-02-10 01:15:00",2.000,2.000,2.100,4.100,4.300,4.400,5.200,2.500,12.400,1323.600,450.200,126.400,
"2018-02-10 01:30:00",2.100,2.000,2.000,4.400,4.300,4.200,4.800,2.300,13.700,1324.000,450.000,124.800,
"2018-02-10 01:45:00",1.500,1.600,1.700,3.300,3.400,3.600,4.400,2.100,14.100,1324.300,448.600,123.100,
"2018-02-10 02:00:00",1.500,1.400,1.400,3.100,3.000,3.000,3.800,1.800,10.700,1320.000,447.000,121.200,
"2018-02-10 02:15:00",1.800,1.700,1.600,3.900,3.700,3.500,3.600,1.700,14.000,1322.600,448.600,120.900,
"2018-02-10 02:30:00",13.500,10.500,6.900,32.000,25.400,16.400,6.600,2.900,103.300,1399.000,496.000,132.300,
"2018-02-10 02:45:00",1.400,1.900,4.400,2.700,4.200,10.200,8.300,3.600,6.600,1323.100,469.700,137.600,
"2018-02-10 03:00:00",1.900,1.700,1.500,3.300,3.000,2.700,8.200,3.600,5.400,1317.900,444.500,137.000,
"2018-02-10 03:15:00",3.300,2.700,2.200,5.000,4.100,3.600,8.200,3.700,9.600,1318.200,444.400,136.000,
"2018-02-10 03:30:00",1.200,2.100,2.900,2.300,3.600,4.700,5.300,2.700,7.800,1320.000,446.900,123.700,
"2018-02-10 03:45:00",1.400,1.400,1.100,2.600,2.500,2.300,3.300,1.900,5.700,1318.600,444.000,117.300,
"2018-02-10 04:00:00",1.600,1.600,1.600,2.700,2.800,2.800,3.300,2.000,7.000,1317.300,444.000,117.100,
"2018-02-10 04:15:00",1.000,1.100,1.300,2.100,2.200,2.400,3.000,1.700,5.300,1317.300,442.800,116.700,
"2018-02-10 04:30:00",1.100,1.100,1.100,2.000,2.100,2.200,2.400,1.300,7.200,1317.100,443.000,115.800,
"2018-02-10 04:45:00",1.500,1.300,1.200,3.000,2.700,2.400,2.400,1.300,9.000,1317.100,443.600,115.700,
"2018-02-10 05:00:00",1.400,1.400,1.400,2.700,2.800,2.900,2.400,1.200,8.600,1319.200,445.300,116.000,
"2018-02-10 05:15:00",1.200,1.200,1.300,2.400,2.500,2.600,2.500,1.300,7.100,1317.200,443.900,116.300,
"2018-02-10 05:30:00",1.900,2.000,2.200,3.200,3.200,3.600,2.900,1.500,7.200,1319.000,444.900,116.800,
"2018-02-10 05:45:00",1.400,1.400,1.500,2.600,2.600,2.700,2.900,1.600,6.900,1319.100,444.100,116.900,
"2018-02-10 06:00:00",1.700,1.600,1.500,3.300,3.200,2.900,3.000,1.600,10.900,1320.100,445.300,116.900,
"2018-02-10 06:15:00",2.100,2.100,1.900,3.700,3.700,3.500,3.200,1.800,10.800,1321.200,447.100,117.700,
"2018-02-10 06:30:00",1.600,1.600,1.700,2.800,3.000,3.200,3.100,1.700,7.400,1319.800,446.700,118.100,
"2018-02-10 06:45:00",1.800,1.900,1.800,3.500,3.700,3.400,3.300,1.700,13.000,1323.500,447.300,118.900,
"2018-02-10 07:00:00",3.600,3.200,2.600,5.700,5.300,4.500,3.700,2.000,12.200,1323.000,448.100,119.600,
"2018-02-10 07:15:00",2.500,1.700,2.800,7.200,3.900,5.400,4.100,2.200,53.200,1333.800,458.600,122.500,
"2018-02-10 07:30:00",2.100,1.900,1.600,5.300,4.800,3.800,4.300,2.200,22.200,1332.400,455.500,124.700,
"2018-02-10 07:45:00",2.500,2.000,1.800,6.300,4.800,4.500,4.500,2.200,23.000,1329.600,456.500,127.000,
"2018-02-10 08:00:00",2.400,2.900,3.300,6.800,7.700,8.400,5.500,2.400,31.900,1346.500,471.200,132.800,
"2018-02-10 08:15:00",2.100,2.000,2.100,4.900,4.900,5.300,5.500,2.200,18.500,1332.400,463.900,134.100,
"2018-02-10 08:30:00",5.300,5.500,4.100,8.800,9.700,8.000,6.500,2.800,25.000,1340.100,467.600,137.100,
"2018-02-10 08:45:00",4.400,5.400,4.900,8.700,9.300,8.300,7.500,3.600,27.900,1335.500,461.800,138.400,
"2018-02-10 09:00:00",3.300,3.600,4.200,6.400,6.900,8.200,7.500,3.800,28.400,1341.700,471.200,138.400,
"2018-02-10 09:15:00",5.400,5.500,4.400,8.500,8.700,7.300,7.900,4.400,22.800,1331.800,457.500,136.900,
"2018-02-10 09:30:00",3.100,2.800,3.600,6.300,6.100,7.000,7.700,4.300,34.800,1342.200,467.000,136.700,
"2018-02-10 09:45:00",3.100,3.500,3.900,7.100,7.400,7.800,7.600,4.000,34.200,1344.600,470.100,138.800,
"2018-02-10 10:00:00",3.300,3.200,3.100,7.500,7.500,7.700,7.500,3.700,45.800,1355.200,483.200,141.800,
"2018-02-10 10:15:00",3.400,3.700,3.900,7.800,8.300,8.400,7.700,3.600,46.400,1357.900,482.400,148.000,
"2018-02-10 10:30:00",2.900,2.900,3.100,6.600,6.700,7.200,7.800,3.500,27.600,1346.400,473.700,149.700,
"2018-02-10 10:45:00",4.700,4.800,3.800,10.100,9.900,7.900,7.800,3.500,48.100,1352.600,473.700,150.600,
"2018-02-10 11:00:00",1.600,1.800,3.000,4.100,5.100,8.200,7.900,3.500,27.600,1344.200,483.600,150.700,
"2018-02-10 11:15:00",1.400,1.500,1.500,3.600,3.700,3.800,6.800,2.900,15.900,1328.800,456.200,144.100,
"2018-02-10 11:30:00",1.500,1.800,1.600,3.800,4.400,4.100,6.000,2.500,18.500,1334.700,459.500,140.600,
