Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-08 00:00:00",5.200,5.800,6.000,8.900,9.600,10.000,9.200,5.300,25.400,1333.300,458.800,130.200,
"2018-02-08 00:15:00",4.200,4.300,4.700,7.600,8.000,8.400,9.900,5.800,19.700,1331.400,457.900,131.800,
"2018-02-08 00:30:00",3.700,3.600,3.800,7.200,6.800,7.100,9.500,5.500,21.800,1329.600,457.300,131.600,
"2018-02-08 00:45:00",5.300,4.700,4.100,9.700,8.800,7.900,8.300,4.600,23.900,1337.700,460.800,131.000,
"2018-02-08 01:00:00",5.300,5.300,5.100,9.600,9.600,9.400,8.200,4.400,29.600,1335.600,462.300,132.000,
"2018-02-08 01:15:00",3.300,3.500,3.900,6.700,6.900,7.500,8.000,4.200,21.900,1332.400,460.100,132.400,
"2018-02-08 01:30:00",3.000,3.000,3.100,6.300,6.300,6.500,7.800,4.100,18.000,1330.300,457.900,132.600,
"2018-02-08 01:45:00",2.800,2.900,2.900,5.900,6.000,6.000,7.400,3.700,16.800,1329.600,457.600,131.800,
"2018-02-08 02:00:00",2.900,2.800,2.800,6.100,6.100,6.000,6.500,3.200,17.200,1329.800,456.100,130.200,
"2018-02-08 02:15:00",8.200,7.400,5.100,12.800,11.900,9.000,6.900,3.500,22.900,1333.000,456.600,129.400,
"2018-02-08 02:30:00",9.700,9.400,10.000,14.800,14.700,15.300,9.100,5.200,27.600,1339.200,465.100,131.200,
"2018-02-08 02:45:00",10.000,10.900,11.600,15.600,16.700,17.700,12.000,7.400,26.900,1338.600,466.100,133.300,
"2018-02-08 03:00:00",8.800,9.800,9.700,13.800,15.300,15.200,14.300,9.100,25.900,1338.500,464.600,135.400,
"2018-02-08 03:15:00",6.900,6.100,7.100,11.900,10.800,11.900,15.000,9.600,27.600,1339.000,463.500,137.100,
"2018-02-08 03:30:00",6.800,6.400,6.600,11.900,11.400,11.600,14.100,8.800,25.400,1334.800,462.500,136.500,
"2018-02-08 03:45:00",5.100,5.500,6.200,9.300,10.000,10.800,12.400,7.400,23.300,1334.000,461.200,135.300,
"2018-02-08 04:00:00",4.500,4.400,4.400,8.200,8.100,8.200,10.600,6.100,21.600,1330.600,457.300,133.400,
"2018-02-08 04:15:00",3.800,3.900,4.100,7.000,7.100,7.600,9.600,5.300,17.700,1328.400,455.200,131.400,
"2018-02-08 04:30:00",2.300,2.500,3.100,4.800,5.100,5.900,8.100,4.500,20.900,1326.200,453.400,129.100,
"2018-02-08 04:45:00",2.800,2.600,2.600,5.400,5.200,5.200,6.700,3.600,15.400,1324.600,451.700,126.700,
"2018-02-08 05:00:00",3.300,3.000,2.800,6.100,5.800,5.500,6.100,3.200,12.100,1327.300,452.800,125.600,
"2018-02-08 05:15:00",3.500,3.500,3.500,6.400,6.400,6.400,5.800,3.000,12.500,1325.700,452.900,125.000,
"2018-02-08 05:30:00",2.800,2.700,3.000,5.300,5.200,5.500,5.700,3.000,10.600,1327.700,452.500,124.800,
"2018-02-08 05:45:00",2.200,2.200,2.400,4.400,4.400,4.800,5.600,2.900,10.300,1324.400,450.000,124.400,
"2018-02-08 06:00:00",2.600,2.600,2.500,4.900,5.100,4.900,5.400,2.900,14.900,1324.000,450.900,123.900,
"2018-02-08 06:15:00",2.500,2.900,3.100,4.900,5.300,5.700,5.200,2.700,14.300,1324.600,451.200,123.500,
"2018-02-08 06:30:00",2.600,2.500,2.500,5.100,4.800,4.800,5.000,2.600,15.800,1326.000,451.800,123.300,
"2018-02-08 06:45:00",4.200,4.100,3.400,13.400,13.300,9.600,6.300,2.900,126.900,1424.000,512.800,139.000,
"2018-02-08 07:00:00",3.400,3.400,3.700,6.900,6.900,9.400,7.400,3.200,18.900,1335.300,492.500,149.400,
"2018-02-08 07:15:00",3.700,3.600,3.600,6.800,6.600,6.800,7.700,3.300,17.200,1330.100,461.500,152.000,
"2018-02-08 07:30:00",5.300,5.000,4.600,9.000,8.800,8.600,8.600,3.800,17.700,1331.800,467.200,155.800,
"2018-02-08 07:45:00",4.500,4.800,5.400,7.600,8.100,8.900,8.400,4.300,16.500,1329.100,455.300,141.400,
"2018-02-08 08:00:00",4.000,4.200,4.800,7.500,7.900,8.300,8.100,4.600,13.900,1329.400,454.000,131.800,
"2018-02-08 08:15:00",8.300,7.700,5.200,12.700,11.900,9.000,8.700,5.000,25.300,1336.200,459.100,131.200,
"2018-02-08 08:30:00",4.800,5.400,5.600,9.200,9.700,9.700,9.000,5.200,31.600,1340.400,463.100,130.200,
"2018-02-08 08:45:00",2.900,2.800,3.200,6.300,6.200,6.800,8.400,4.700,28.600,1336.300,462.100,131.900,
"2018-02-08 09:00:00",2.800,2.800,2.900,5.800,5.900,6.100,7.900,4.200,24.200,1332.500,458.400,133.000,
"2018-02-08 09:15:00",3.700,3.200,2.900,9.400,8.200,7.200,7.400,3.600,60.300,1359.700,475.800,137.200,
"2018-02-08 09:30:00",2.900,2.900,3.000,6.000,6.500,7.100,6.800,3.000,21.300,1337.900,471.300,139.200,
"2018-02-08 09:45:00",4.200,3.500,3.300,11.100,8.500,7.800,7.000,3.000,73.600,1356.800,478.500,143.300,
"2018-02-08 10:00:00",3.600,3.200,3.200,7.000,6.400,7.100,7.300,3.100,26.800,1332.700,466.100,145.200,
"2018-02-08 10:15:00",4.800,4.800,4.600,8.500,8.500,8.400,7.600,3.500,24.300,1332.300,462.200,141.800,
"2018-02-08 10:30:00",3.700,4.000,4.200,6.900,7.600,7.600,7.700,3.800,28.900,1344.300,464.600,140.200,
"2018-02-08 10:45:00",2.300,2.600,2.900,5.400,5.900,6.700,7.400,3.700,28.500,1344.100,472.600,138.700,
"2018-02-08 11:00:00",2.100,2.100,2.100,5.600,5.200,4.900,6.900,3.400,39.600,1343.400,467.300,139.000,
"2018-02-08 11:15:00",3.600,2.900,2.400,6.600,6.400,5.600,6.200,2.900,25.000,1349.100,472.600,141.600,
"2018-02-08 11:30:00",2.900,3.100,3.500,6.400,6.700,6.900,6.000,2.700,24.900,1340.200,467.100,142.200,
"2018-02-08 11:45:00",2.800,2.600,2.800,6.800,6.100,6.300,5.900,2.700,32.800,1342.300,467.000,140.800,
"2018-02-08 12:00:00",1.500,1.600,1.900,3.200,3.300,4.200,5.800,2.600,22.700,1326.500,455.300,137.800,
"2018-02-08 12:15:00",1.700,1.600,1.700,3.700,3.400,3.600,5.300,2.500,16.000,1326.300,453.300,133.000,
"2018-02-08 12:30:00",7.500,8.100,4.700,9.800,10.600,6.800,5.300,2.800,30.600,1338.600,459.300,131.200,
"2018-02-08 12:45:00",2.400,2.800,4.400,5.700,4.900,6.700,5.400,3.200,24.600,1330.600,459.300,129.300,
"2018-02-08 13:00:00",1.800,1.600,2.300,4.300,3.600,6.000,5.800,3.300,24.200,1330.000,483.700,136.300,
"2018-02-08 13:15:00",1.400,1.600,1.800,3.400,3.700,4.000,5.900,3.300,30.100,1329.500,456.100,136.900,
"2018-02-08 13:30:00",1.700,1.900,1.800,3.300,4.300,4.000,5.100,2.600,9.900,1328.000,451.400,135.000,
"2018-02-08 13:45:00",1.200,1.900,1.600,2.500,4.500,3.500,4.400,1.900,5.200,1334.600,452.200,133.200,
"2018-02-08 14:00:00",1.100,1.300,1.300,2.400,2.700,2.800,3.600,1.600,5.400,1320.000,446.500,123.900,
"2018-02-08 14:15:00",1.200,1.100,1.100,2.100,2.200,2.300,3.100,1.500,4.700,1319.700,444.600,121.000,
"2018-02-08 14:30:00",0.700,0.700,0.800,1.600,1.400,1.600,2.500,1.200,5.700,1315.000,441.400,118.500,
"2018-02-08 14:45:00",0.800,0.900,0.900,2.200,2.400,2.100,2.200,1.000,9.600,1322.500,444.800,116.700,
"2018-02-08 15:00:00",1.200,1.000,1.000,2.800,2.200,2.400,2.100,1.000,10.200,1318.200,446.500,116.700,
"2018-02-08 15:15:00",1.500,3.000,2.100,3.100,9.300,5.400,2.900,1.200,11.700,1359.100,462.400,121.100,
"2018-02-08 15:30:00",0.900,0.800,1.000,1.900,1.800,2.300,3.000,1.200,5.600,1316.400,445.700,122.200,
"2018-02-08 15:45:00",1.200,0.900,0.900,2.500,1.800,1.900,3.000,1.200,8.400,1316.500,443.100,121.800,
"2018-02-08 16:00:00",0.800,0.800,0.900,1.400,1.700,1.800,2.900,1.200,2.300,1314.500,441.800,120.600,
"2018-02-08 16:15:00",0.500,0.600,0.600,1.100,1.200,1.300,1.800,0.800,4.500,1314.100,440.600,115.100,
"2018-02-08 16:30:00",1.900,1.400,0.800,3.700,3.500,1.800,1.700,0.800,10.000,1325.800,443.700,114.600,
"2018-02-08 16:45:00",0.800,1.100,0.800,1.900,3.000,1.900,1.700,0.800,8.600,1320.900,442.800,114.500,
"2018-02-08 17:00:00",0.600,0.600,0.700,1.000,1.300,1.500,1.600,0.700,1.500,1314.400,442.200,114.600,
"2018-02-08 17:15:00",0.500,0.500,0.600,0.900,1.100,1.200,1.600,0.700,1.700,1313.600,440.000,114.500,
"2018-02-08 17:30:00",0.400,0.500,0.600,0.900,1.100,1.100,1.400,0.700,2.300,1313.900,439.900,113.500,
"2018-02-08 17:45:00",1.200,1.100,1.000,2.500,2.300,2.000,1.500,0.700,7.600,1316.000,441.700,113.300,
"2018-02-08 18:00:00",1.000,0.900,0.700,2.700,2.200,1.600,1.500,0.700,15.700,1322.300,443.200,113.500,
"2018-02-08 18:15:00",1.400,1.000,1.300,2.900,2.000,3.000,1.900,0.900,10.200,1316.700,448.200,115.600,
"2018-02-08 18:30:00",1.000,1.000,1.300,1.700,1.900,2.600,2.300,1.100,4.300,1315.000,442.700,116.300,
