Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-06 07:30:00",1.500,1.600,1.700,2.700,2.900,3.400,4.500,2.200,7.100,8.400,12.800,16.900,
"2018-02-06 07:45:00",1.800,1.800,1.600,3.400,3.300,3.000,3.900,1.900,7.800,9.000,7.900,15.500,
"2018-02-06 08:00:00",1.800,1.800,1.800,3.100,3.200,3.200,3.800,1.800,11.100,11.300,10.700,15.600,
"2018-02-06 08:15:00",1.800,1.900,2.200,3.300,3.600,7.000,4.100,1.800,10.800,11.500,63.200,23.600,
"2018-02-06 08:30:00",2.300,2.200,2.100,4.200,4.100,3.800,4.200,1.900,12.200,12.500,12.200,23.500,
"2018-02-06 08:45:00",4.800,4.700,3.900,12.000,9.500,7.600,5.400,2.500,75.300,45.900,33.100,29.800,
"2018-02-06 09:00:00",9.000,6.600,4.400,14.200,11.400,8.600,6.700,3.100,37.800,35.400,34.000,35.600,
"2018-02-06 09:15:00",2.900,2.800,3.600,7.000,6.800,7.300,6.800,3.500,29.800,29.800,28.700,27.000,
"2018-02-06 09:30:00",2.200,2.400,2.800,4.600,5.300,6.900,7.600,3.700,20.200,22.700,32.600,32.100,
"2018-02-06 09:45:00",1.900,2.000,2.100,4.200,4.700,4.900,6.900,3.200,19.300,23.900,23.300,29.700,
"2018-02-06 10:00:00",2.000,2.000,2.000,4.400,4.300,4.400,5.900,2.600,19.600,18.100,18.900,25.900,
"2018-02-06 10:15:00",3.700,2.600,2.200,11.200,8.300,6.700,5.700,2.300,81.500,67.700,48.300,30.800,
"2018-02-06 10:30:00",4.400,3.800,3.000,16.300,12.700,9.800,6.400,2.300,104.300,80.200,69.800,40.100,
"2018-02-06 10:45:00",1.700,2.000,2.700,5.100,6.100,8.000,7.200,2.500,32.500,38.500,44.800,45.500,
"2018-02-06 11:00:00",2.100,2.200,1.900,4.900,5.400,5.000,7.400,2.500,29.200,27.400,27.700,47.700,
"2018-02-06 11:15:00",2.100,2.400,2.100,4.600,5.900,5.100,7.000,2.400,21.600,27.000,25.300,41.900,
"2018-02-06 11:30:00",1.600,1.700,1.900,3.100,3.800,4.200,5.600,2.200,14.400,17.700,18.700,29.100,
"2018-02-06 11:45:00",1.400,1.400,1.600,3.000,3.000,3.400,4.400,1.900,9.900,11.600,13.600,21.300,
"2018-02-06 12:00:00",1.700,1.600,1.700,3.600,3.500,3.700,4.100,1.800,16.000,17.500,16.300,18.500,
"2018-02-06 12:15:00",1.600,1.500,1.700,3.200,3.100,3.500,3.700,1.700,13.300,13.400,14.800,15.900,
"2018-02-06 12:30:00",1.500,1.400,1.400,3.300,3.000,3.100,3.400,1.600,15.200,18.100,16.700,15.400,
"2018-02-06 12:45:00",1.300,1.400,1.300,2.800,3.100,2.800,3.300,1.500,9.700,13.400,14.200,15.500,
"2018-02-06 13:00:00",1.200,1.200,3.700,3.000,2.500,20.900,7.600,2.000,20.300,13.500,285.100,82.700,
"2018-02-06 13:15:00",0.700,0.800,1.100,1.500,1.700,2.300,7.300,1.800,8.300,9.200,13.900,82.500,
"2018-02-06 13:30:00",1.000,1.000,1.000,2.000,1.900,1.900,7.000,1.700,7.300,6.800,7.200,80.100,
"2018-02-06 13:45:00",1.000,1.100,1.000,1.900,2.200,2.100,6.800,1.700,9.900,9.000,8.600,78.700,
"2018-02-06 14:00:00",1.200,10.300,4.900,2.400,34.900,17.500,5.900,2.000,9.000,272.400,159.200,47.300,
"2018-02-06 14:15:00",0.800,0.700,1.000,1.900,1.500,2.000,5.900,2.000,7.900,5.000,8.600,45.900,
"2018-02-06 14:30:00",0.600,0.600,0.700,1.200,1.100,1.400,5.700,1.900,3.600,3.900,6.600,45.700,
"2018-02-06 14:45:00",0.800,3.400,4.100,1.700,10.800,12.200,8.300,2.700,8.500,94.800,97.200,67.900,
"2018-02-06 15:00:00",0.800,0.900,1.000,1.700,2.400,2.400,4.500,1.700,6.300,10.200,12.400,31.200,
"2018-02-06 15:15:00",0.500,0.500,0.600,1.100,1.100,1.200,4.300,1.600,7.500,5.500,4.900,30.300,
"2018-02-06 15:30:00",0.600,0.600,1.500,1.300,1.400,4.400,5.000,1.800,4.000,7.100,33.300,37.000,
"2018-02-06 15:45:00",0.700,0.600,0.600,1.300,1.100,1.300,2.300,0.900,4.100,6.500,6.100,14.200,
"2018-02-06 16:00:00",1.100,0.900,0.700,2.600,1.800,1.300,2.100,0.900,13.600,10.900,6.500,12.700,
"2018-02-06 16:15:00",0.600,0.600,0.800,1.000,1.200,1.900,2.200,0.900,2.500,6.400,11.000,14.200,
"2018-02-06 16:30:00",0.700,0.700,0.600,1.400,1.500,1.200,1.400,0.700,6.100,8.300,4.600,7.100,
"2018-02-06 16:45:00",0.900,0.700,0.700,2.000,1.300,1.400,1.400,0.700,10.500,4.400,5.000,6.800,
"2018-02-06 17:00:00",0.500,0.500,0.500,1.100,1.000,1.100,1.400,0.600,7.300,3.400,3.400,6.000,
