Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-06 00:00:00",2.300,2.200,2.400,4.300,4.300,4.700,6.500,3.400,10.600,10.900,14.200,16.400,
"2018-02-06 00:15:00",2.100,2.100,2.200,4.000,4.000,4.200,5.900,3.100,13.100,12.400,12.000,15.900,
"2018-02-06 00:30:00",2.300,2.100,2.000,3.600,3.600,3.500,4.900,2.500,8.200,9.100,9.300,13.900,
"2018-02-06 00:45:00",2.200,2.500,2.200,3.700,4.100,3.700,4.000,2.200,13.300,11.100,10.000,11.400,
"2018-02-06 01:00:00",1.500,1.400,1.900,2.700,2.500,3.400,3.700,2.100,7.300,8.400,10.300,10.400,
"2018-02-06 01:15:00",1.500,1.400,1.400,2.900,2.800,2.700,3.300,1.900,6.500,9.600,9.500,9.800,
"2018-02-06 01:30:00",2.200,2.300,2.200,4.100,4.100,3.900,3.400,1.900,9.800,10.300,9.700,9.900,
"2018-02-06 01:45:00",3.000,3.000,2.400,5.300,5.400,4.400,3.600,2.000,12.600,13.500,11.500,10.300,
"2018-02-06 02:00:00",4.600,4.400,4.100,8.200,7.900,7.500,4.600,2.500,16.700,15.600,14.600,11.300,
"2018-02-06 02:15:00",9.600,8.600,6.800,17.000,15.100,12.000,6.900,3.900,28.900,27.500,21.400,14.300,
"2018-02-06 02:30:00",3.500,4.100,6.100,6.600,7.800,11.200,8.700,4.800,15.900,19.300,23.200,17.500,
"2018-02-06 02:45:00",2.600,2.600,2.900,5.400,5.300,5.700,9.000,4.900,14.000,13.300,15.300,18.500,
"2018-02-06 03:00:00",2.100,2.200,2.300,4.400,4.400,4.700,8.300,4.500,11.900,11.600,12.700,18.000,
"2018-02-06 03:15:00",1.600,1.600,2.200,2.900,3.100,4.000,6.400,3.400,7.400,9.200,10.500,15.400,
"2018-02-06 03:30:00",3.900,3.000,2.100,8.400,6.400,4.400,4.700,2.400,29.900,21.500,14.300,13.200,
"2018-02-06 03:45:00",9.800,11.300,9.500,23.400,27.500,23.000,9.000,4.000,72.100,85.100,72.400,27.500,
"2018-02-06 04:00:00",2.500,3.300,6.400,5.200,7.200,14.900,11.600,5.100,13.600,19.700,41.100,34.600,
"2018-02-06 04:15:00",1.000,1.100,1.300,2.000,2.000,2.500,11.200,4.800,5.500,7.200,7.500,33.800,
"2018-02-06 04:30:00",1.400,1.600,1.400,2.600,3.200,2.900,10.800,4.700,7.600,9.800,9.200,32.500,
"2018-02-06 04:45:00",1.100,1.100,1.100,1.800,1.800,2.000,5.600,2.600,3.500,4.700,5.300,15.800,
"2018-02-06 05:00:00",1.200,1.200,1.100,2.400,2.300,2.000,2.300,1.200,8.400,7.600,5.900,7.000,
"2018-02-06 05:15:00",2.200,2.300,1.900,4.900,5.400,4.400,2.800,1.400,20.400,20.400,16.200,9.100,
"2018-02-06 05:30:00",1.400,1.200,1.300,2.800,2.400,2.900,2.800,1.400,8.900,7.100,9.200,9.100,
"2018-02-06 05:45:00",7.000,7.700,6.200,11.900,13.200,11.100,5.100,2.600,17.800,19.200,21.200,13.100,
"2018-02-06 06:00:00",1.300,1.400,3.200,2.400,2.600,5.500,6.000,3.200,7.300,7.000,9.500,14.000,
"2018-02-06 06:15:00",1.200,1.200,1.200,2.600,2.500,2.400,5.500,3.000,7.900,8.400,6.800,11.700,
"2018-02-06 06:30:00",5.600,4.300,2.400,10.900,8.600,4.800,5.900,3.200,20.800,18.000,12.400,12.500,
"2018-02-06 06:45:00",2.200,2.000,2.900,4.000,3.900,5.300,4.500,2.400,11.100,11.100,13.500,10.600,
"2018-02-06 07:00:00",1.900,2.000,2.000,3.400,3.500,3.700,4.100,2.100,10.800,10.400,10.300,10.800,
"2018-02-06 07:15:00",1.800,2.100,2.200,3.400,4.900,5.700,4.900,2.400,7.100,22.600,30.900,16.800,
