Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-07 12:15:00",2.400,2.700,3.000,5.000,5.400,6.000,17.900,5.300,18.100,1334.200,459.900,175.900,
"2018-02-07 12:30:00",2.100,1.900,2.200,4.200,3.800,4.200,5.500,2.800,14.100,1323.800,454.400,130.500,
"2018-02-07 12:45:00",1.000,1.300,1.500,2.000,2.500,3.100,4.900,2.500,12.000,1319.600,448.700,128.100,
"2018-02-07 13:00:00",0.900,0.900,1.000,1.700,1.900,2.000,3.800,1.900,6.400,1319.400,444.900,124.300,
"2018-02-07 13:15:00",0.900,1.000,1.100,1.800,1.800,2.200,2.900,1.500,7.200,1317.100,447.000,121.200,
"2018-02-07 13:30:00",0.700,0.900,0.900,1.600,1.800,1.900,2.300,1.100,9.600,1317.800,443.400,118.400,
"2018-02-07 13:45:00",1.000,0.900,0.900,1.900,1.800,1.800,1.900,1.000,7.500,1319.200,444.300,117.300,
"2018-02-07 14:00:00",0.800,0.900,1.100,1.600,1.800,2.200,2.000,1.000,4.200,1317.300,443.700,116.900,
"2018-02-07 14:15:00",0.900,1.000,1.000,1.800,2.100,2.200,2.000,1.000,6.900,1324.300,448.000,117.200,
"2018-02-07 14:30:00",0.900,0.900,1.000,1.700,1.900,2.100,2.100,1.000,4.500,1318.600,446.100,117.900,
"2018-02-07 14:45:00",1.000,1.000,1.000,2.000,2.200,2.100,2.100,1.000,11.300,1320.200,445.300,118.100,
"2018-02-07 15:00:00",1.300,2.800,2.000,2.400,9.100,5.800,3.000,1.300,7.500,1355.200,464.000,123.200,
"2018-02-07 15:45:00",1.300,1.100,1.200,2.800,2.100,2.700,3.500,1.400,7.900,1316.200,444.900,123.300,
"2018-02-07 16:00:00",1.100,1.500,1.700,2.400,3.800,4.400,3.200,1.300,7.100,1322.700,450.300,119.900,
