Time,PM1_1M,PM1_5M,PM1_15M,PM2P5_1M,PM2P5_5M,PM2P5_15M,PM2P5_1H,PM1_1H,PM10_1M,PM10_5M,PM10_15M,PM10_1H
"2018-02-05 00:00:00",21.700,21.600,19.800,41.700,41.200,37.800,20.300,10.000,79.100,76.200,68.700,48.500,
"2018-02-05 00:15:00",22.000,22.100,22.000,42.800,42.700,42.000,26.600,13.700,74.600,73.800,73.900,50.900,
"2018-02-05 00:30:00",20.200,20.700,21.300,40.700,41.800,42.100,35.300,18.200,74.100,77.900,74.300,64.400,
"2018-02-05 00:45:00",11.400,13.600,16.200,24.800,29.200,34.000,39.000,19.800,72.100,75.500,80.100,74.200,
"2018-02-05 01:00:00",3.300,3.900,6.400,6.600,8.200,13.600,32.900,16.500,35.000,30.500,42.000,67.600,
"2018-02-05 01:15:00",3.800,3.900,3.400,7.700,8.200,7.000,24.200,11.800,23.500,26.100,24.700,55.300,
"2018-02-05 01:30:00",2.700,2.700,3.100,4.900,5.300,6.200,15.200,7.300,11.600,14.500,20.200,41.800,
"2018-02-05 01:45:00",1.800,1.900,2.000,3.300,3.500,3.600,7.600,3.700,7.300,7.700,9.200,24.000,
"2018-02-05 02:00:00",3.800,2.900,2.100,7.100,5.300,3.700,5.200,2.600,14.300,11.500,8.400,15.600,
"2018-02-05 02:15:00",1.600,1.700,3.200,2.800,3.100,5.600,4.800,2.600,6.700,7.800,11.900,12.400,
"2018-02-05 02:30:00",2.200,1.900,1.700,3.900,3.500,3.000,4.000,2.200,9.200,10.000,8.000,9.400,
"2018-02-05 02:45:00",5.200,5.000,3.800,8.600,8.200,6.400,4.700,2.700,18.200,17.400,15.700,11.000,
"2018-02-05 03:00:00",5.600,5.700,5.700,9.300,9.700,9.700,6.200,3.600,23.800,21.100,20.900,14.100,
"2018-02-05 03:15:00",5.300,5.800,5.600,8.500,9.300,9.300,7.000,4.200,17.500,17.300,19.200,15.900,
"2018-02-05 03:30:00",3.500,3.700,4.000,6.000,6.300,6.600,7.900,4.700,15.400,15.400,16.400,18.000,
"2018-02-05 03:45:00",2.700,3.000,3.300,5.200,5.400,5.700,7.800,4.700,12.500,13.500,13.700,17.600,
"2018-02-05 04:00:00",2.300,2.100,2.400,4.000,3.900,4.300,6.500,3.800,10.400,10.600,11.400,15.200,
"2018-02-05 04:15:00",5.300,5.900,4.700,8.000,9.000,7.200,6.000,3.600,15.300,13.900,11.900,13.300,
"2018-02-05 04:30:00",3.200,3.500,4.200,5.200,5.600,6.500,5.900,3.600,10.900,10.800,11.800,12.200,
"2018-02-05 04:45:00",2.200,2.200,2.400,4.300,4.200,4.400,5.600,3.400,11.600,10.100,9.800,11.200,
"2018-02-05 05:00:00",3.700,3.300,2.600,6.800,6.200,5.100,5.800,3.500,17.000,14.900,14.200,11.900,
"2018-02-05 05:15:00",2.700,2.600,3.500,4.400,4.300,5.900,5.500,3.200,13.000,10.700,12.900,12.200,
"2018-02-05 05:30:00",3.000,2.400,2.600,4.400,3.700,4.200,4.900,2.800,10.300,8.100,9.700,11.600,
"2018-02-05 05:45:00",11.500,10.600,7.700,15.800,15.000,11.300,6.600,4.100,20.600,22.500,18.100,13.700,
"2018-02-05 06:00:00",17.800,18.400,16.200,23.700,24.600,21.800,10.800,7.500,28.700,29.400,26.500,16.800,
"2018-02-05 06:15:00",22.100,20.300,18.800,30.200,27.500,25.300,15.600,11.300,34.900,33.100,30.900,21.300,
"2018-02-05 06:30:00",28.400,26.500,24.700,39.800,36.900,34.200,23.100,16.800,47.100,44.500,41.700,29.300,
"2018-02-05 06:45:00",26.300,26.600,28.000,35.600,36.100,38.400,29.900,21.900,41.400,41.700,43.800,35.700,
"2018-02-05 07:00:00",23.800,24.300,24.800,31.700,32.700,33.300,32.800,24.100,40.200,39.900,40.200,39.200,
"2018-02-05 07:15:00",17.400,18.600,20.900,23.700,25.100,28.200,33.500,24.600,28.400,30.200,34.800,40.200,
"2018-02-05 07:30:00",14.200,14.400,14.500,19.000,19.300,19.500,29.800,22.000,26.100,24.900,25.700,36.200,
"2018-02-05 07:45:00",10.700,11.200,11.900,14.800,15.700,16.300,24.300,18.000,20.600,22.800,21.800,30.700,
"2018-02-05 08:00:00",8.700,8.900,9.900,12.300,12.900,13.900,19.500,14.300,18.600,21.000,21.300,25.900,
"2018-02-05 08:15:00",8.200,8.000,8.100,12.000,11.500,11.500,15.300,11.100,19.400,19.700,18.700,21.900,
"2018-02-05 08:30:00",7.000,7.400,8.000,10.900,11.600,12.300,13.500,9.500,17.500,20.600,21.400,20.800,
"2018-02-05 08:45:00",9.900,7.800,6.500,13.600,11.100,9.700,11.900,8.100,26.800,23.500,18.900,20.100,
"2018-02-05 09:00:00",8.700,10.200,10.400,15.500,14.900,14.700,12.100,8.300,62.600,36.200,30.500,22.400,
"2018-02-05 09:15:00",12.200,12.800,11.300,20.900,21.900,19.500,14.100,9.100,44.200,45.000,47.700,29.600,
"2018-02-05 09:30:00",4.000,5.300,8.800,7.300,9.700,17.100,15.200,9.200,26.200,38.700,89.300,46.600,
"2018-02-05 09:45:00",3.100,2.800,3.300,6.400,5.500,7.000,14.600,8.400,45.300,24.400,36.900,51.100,
"2018-02-05 10:00:00",4.600,3.800,3.400,9.400,7.500,6.900,12.600,6.700,30.000,28.000,31.500,51.400,
"2018-02-05 10:15:00",5.400,5.700,5.600,11.200,11.600,12.000,10.800,5.300,50.300,54.000,60.200,54.500,
"2018-02-05 10:30:00",4.500,4.500,4.900,8.400,8.600,9.800,8.900,4.300,43.700,41.800,45.800,43.600,
"2018-02-05 10:45:00",5.300,5.200,5.300,9.800,9.300,10.100,9.700,4.800,47.200,34.700,43.100,45.200,
"2018-02-05 11:00:00",4.800,5.000,5.000,8.100,8.700,9.200,10.300,5.200,21.000,31.000,39.100,47.100,
"2018-02-05 11:15:00",2.800,3.000,4.000,5.300,5.400,7.100,9.000,4.800,15.500,17.000,23.800,37.900,
"2018-02-05 11:30:00",2.300,2.400,2.400,4.500,4.800,4.600,7.800,4.200,12.400,16.800,17.200,30.800,
"2018-02-05 11:45:00",2.100,2.200,2.300,4.200,4.400,4.500,6.400,3.400,19.100,17.700,19.500,24.900,
"2018-02-05 12:00:00",2.800,2.400,2.200,6.300,5.100,4.500,5.200,2.700,33.700,20.100,16.900,19.400,
"2018-02-05 12:15:00",1.800,1.900,1.900,3.700,3.900,3.900,4.400,2.200,12.400,16.700,16.700,17.600,
"2018-02-05 12:30:00",2.000,2.100,1.800,4.000,4.300,3.600,4.100,2.100,14.300,16.600,14.200,16.800,
"2018-02-05 12:45:00",2.200,1.700,2.200,4.400,3.300,4.900,4.200,2.000,19.100,13.400,29.100,19.200,
"2018-02-05 13:00:00",2.500,3.000,2.000,4.900,6.700,4.000,4.100,2.000,23.100,46.300,23.000,20.700,
"2018-02-05 13:15:00",2.100,2.000,2.300,3.700,3.700,4.200,4.200,2.100,15.400,12.600,16.300,20.600,
"2018-02-05 13:30:00",1.300,1.400,1.500,2.600,2.700,2.900,4.000,2.000,6.700,9.600,10.200,19.600,
"2018-02-05 13:45:00",1.500,1.400,1.500,2.800,2.800,2.700,3.500,1.800,8.300,11.000,11.000,15.100,
"2018-02-05 14:00:00",1.500,1.400,1.500,2.700,2.600,2.900,3.200,1.700,9.500,7.500,10.500,12.000,
"2018-02-05 14:15:00",1.900,1.500,1.400,4.300,3.100,2.800,2.800,1.500,24.600,12.500,9.400,10.200,
"2018-02-05 14:30:00",1.800,1.600,1.700,4.100,3.200,3.700,3.000,1.500,20.200,10.800,20.000,12.700,
"2018-02-05 14:45:00",1.100,1.300,1.500,2.000,2.400,3.000,3.100,1.500,5.600,9.000,14.000,13.200,
"2018-02-05 15:00:00",7.900,2.500,1.600,27.500,7.100,3.900,3.300,1.600,374.500,81.400,34.000,19.100,
"2018-02-05 15:15:00",1.100,1.300,1.200,2.200,2.500,2.400,3.200,1.500,9.100,7.500,7.900,18.800,
"2018-02-05 15:30:00",1.100,1.100,1.200,1.900,1.900,2.500,3.000,1.400,4.900,6.000,10.700,16.600,
"2018-02-05 15:45:00",1.000,1.000,1.100,1.900,1.800,2.000,2.700,1.300,3.600,4.200,5.200,14.400,
"2018-02-05 16:00:00",1.100,1.400,1.100,2.000,3.200,2.300,2.300,1.200,5.300,13.500,7.800,7.900,
"2018-02-05 16:15:00",1.700,1.800,1.400,3.000,3.900,2.900,2.400,1.200,5.400,13.700,9.600,8.300,
"2018-02-05 16:30:00",2.700,1.900,1.900,7.300,3.900,3.900,2.800,1.400,37.600,13.000,11.100,8.400,
"2018-02-05 16:45:00",1.300,1.300,1.500,2.100,2.100,2.600,2.900,1.500,4.400,4.200,6.300,8.700,
"2018-02-05 17:00:00",0.800,0.900,0.900,1.600,1.700,1.700,2.800,1.400,6.500,5.700,4.200,7.800,
"2018-02-05 17:15:00",0.900,0.800,0.800,1.700,1.400,1.400,2.400,1.300,7.800,3.400,3.100,6.200,
"2018-02-05 17:30:00",1.000,1.000,1.000,1.800,2.000,1.800,1.900,1.000,2.700,5.600,4.600,4.600,
